sku,product_name,brand,pst,gmv,gv,orders,units,instock,atc,platform_gmv_loss,express_gmv_loss,cvr,asp
Z5AF9941AAEC7B69F658CZ-1,5 Pack 60x40 cm Large Storage Bags 90L Clothes Storage Bins Foldable Closet Organizers Storage Containers with Durable Handles Thick Fabric for Blanket Comforter Clothing Bedding,rock_pow,hanging_closet_organizer,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
Z5B039BF8CBB2891EEE4CZ-1,Hotpack Heavy Duty Aluminium Foil Roll For Cooking Wrapping- 3X3.75mtr,hotpack,aluminium_foil,29.9,0.0,2.0,2.0,100.0,2.0,0.0,0.0,0.0,14.95
Z5B04442A06EF2B893930Z-1,2 Layers Stylish Multi-Functional Storage 1 Cabinet & 2 Wardrobe,nkx,foldable_wardrobe,0.0,17.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
Z5B04CE82DB4EE17BDB24Z-1,"4 Pack Bento Lunch Box Set, 3 Compartment Food Storage Containers, Wheat Straw Meal Prep Lunch Box, Food Storage Containers, Microwave and Dishwasher Safe",peachjoy,lunch_box,0.0,2.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
Z5B083F956FD05868800CZ-1,"Foldable Closet Storage Organizer with lid,Wardrobe Clothes Organizer For Clothing, Sheets, Toys, Books,Washable Closet Storage Boxes with Carrying Handles Cube Stackable Storage Bin for Home Bedroom Office",duniso,storage_box,0.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Z5B094B80E94AA8A1AE19Z-1,"Mixing Bowl Set with Lids, Stainless Steel Stocking Bowls with Measuring and Silicone Gel Bottom, Stackable",dubaigallery,food_containers,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Z5B0D2D19A4D9A9D604DBZ-1,"LION Stainless Steel Storage Drum | Food Grade Airtight Container for Grains, Sugar, Flour, Tea, Coffee, and More | BPA Free, Rust & Corrosion Resistant, 14 Liter, 29x31 cm",lion,food_containers,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Z5B0D33B3143F412C8737Z-1,"30 Pack Wire Hangers,Heavy Duty Metal Hangers,Coat Hangers with Non-Slip Grooves,Waterproof and Anti Slip,Strong and Durable,Space Saving,for Hanging Coats,Suits,Jackets, Shirt,40cm",duniso,closet_clothes_hanger,315.29,15.0,3.0,8.0,56.25,5.0,0.0,0.0,0.2,39.41125
Z5B0E418AB548601AAE7CZ-1,"Solerconm Expandable Cabinet Shelf Organizers, Kitchen Cabinet Organizer Shelves Spice Rack Cupboard Organizers Storage,(36~60)x21x23CM,black",solerconm,racks,56.99,4.0,1.0,1.0,100.0,2.0,0.0,0.0,0.25,56.99
Z5B0F1C55F247C7B80BE9Z-1,Lunch Box for School 1260ml Stainless Steel Leak-Proof Lunch Box 3 Grids Food Container Lunch Box Bring Lunch Bag Cutlery Spoon Fork Bento Box for Kids and Adults-Food Safe Materials (Purple 1260ml),tapit,lunch_box,150.34,44.0,2.0,2.0,100.0,5.0,0.0,0.0,0.045454545454545456,75.17
Z5B125072FAC93BF5C21FZ-1,1-Piece Metal Wall Mounting Double Cup with Hook Type Kitchen Storage Shelf/Kitchen Shelving  Black 60 x 12 x 10.5 Centimeter,kutis,racks,0.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0
Z5B141D8A2F312607A412Z-1,"Over The Fridge Shelf Adjustable Height Shelving Unit Storage Shelves Metal Storage Rack Mini Fridge Shelf, Black",solerconm,racks,179.99,144.0,1.0,1.0,100.0,16.0,0.0,0.0,0.006944444444444444,179.99
Z5B1A4B48BEFAB81BE598Z-1,"Duravel Plastic Hanger 50 Pcs Set, Non-Slip Clothes Hangers for Wardrobe, Closet Storage & Space-Saving Organization(White)",duravel,closet_clothes_hanger,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Z5B1AF5179E64A76FD362Z-1,"Food Container with Lid, Rectangular, Glass/Plastic, 3.1 L",baitique,food_containers,0.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Z5B1B9013C2F3DA9BE979Z-1,"30Pcs Reusable Food Bowl Storage Covers, Aluminum Foil Food Covers with Elastic, Kitchen Insulation Cover for Microwave,Adjustable Food Storage Covers for Kitchen Bowls, Containers",generic,food_saver,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Z5B205613B1D27C292EB8Z-1,"Multifunctional 3-Tier Adjustable Pot and Pan Organizer Rack, Floor Standing Pot Rack for Cabinet, Pot Lid Holders with Drain Tray, White",rollstimi,racks,0.0,16.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0,0.0
Z5B20755C3447839D58C1Z-1,"Clip-on Storage Basket, Powder-Coated Steel, White, 36x26x14 cm",baitique,countertop_wall_organization,0.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Z5B21C8D8B63F1716CAEBZ-1,1Pcs Random Color Vegetable Fruit Grocery Foldable Shopping Trolley Bag Portable Shopping Cart Bag with Wheel,dubaigallery,bag,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Z5B227F5DC53C7CECE997Z-1,"[200 Piece] 6 x 9 inches Clear Treat Bags - Plastic Cellophane Flat Bags for Popcorn, Soap, Candle, Birthday Party Favor Bags",markq,bag,72.0,15.0,3.0,3.0,81.25,4.0,0.0,0.0,0.2,24.0
Z5B23B81B1757AF38948BZ-1,"ZOXITY Cordless Electric Vacuum Pump for Storage Bags Portable Mini Rechargeable Electric Air Pump with Type-C, Quick Deflation for Storage Bags, Vacuum Sealer for Travel, Closet, and Car",zoxity,space_saver_bag,48.0,21.0,1.0,1.0,100.0,6.0,0.0,0.0,0.047619047619047616,48.0
Z5B242E13881A4F9D0D1DZ-1,"Anchor Hocking Classic Glass Food Storage Containers with Lids, Blue, 2 Cup (Set of 3)",anchor_hocking,storage_set,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Z5B26C72F09EA937E78EDZ-1,"T Shaped Metal Freestanding Clothes Rack with Marble Slab Base , Modern Freestanding Clothing Rack Stand,White 150cm Height Suitable For Boutiques, Entryway, Bedroom, Living Room, Hallway",duniso,clothes_rack,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
Z5B2CDDD3BD5474CA5E58Z-1,"SONGMICS Storage Cubes, 11-Inch Non-Woven Fabric Bins with Double Handles, Set of 10, Closet Organizers for Shelves, Foldable, for Clothes, Ink Black",songmics,hanging_closet_organizer,98.0,14.0,2.0,2.0,100.0,3.0,0.0,0.0,0.14285714285714285,49.0
Z5B2E1F62660982D28F44Z-1,"Pack of 4 Strong Storage Laundry Bags – Big Moving/Shopping Bags with Zipper & Handles - Reusable Storage Zip Bag, Extra Large Heavy Duty Nylon Organizer Bags for Quilts Blankets Pillows Cloths, black .",waokn,space_saver_bag,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Z5B2E6E8BF6C7802F4718Z-1,"Stainless Steel Bento Box Adult Lunch Box, Bento box with Thermos,Portable Insulated Food Lunch Container Set, 4 Separate Stackable Lunch Container Microwave(Green)",changli,lunch_box,62.4,4.0,1.0,1.0,50.0,1.0,0.0,0.0,0.25,62.4
Z5B2F1F96EE76DA06C033Z-1,"12Pack 4oz Glass Spice Jars with Airtight Hinged Lids, Small Square Jars with Writable Labels, Chalk Marker & Silicone Funnel for Spices, Herbs, Seasonings, and Kitchen Storage",skylink,spice_jars,0.0,55.0,0.0,0.0,100.0,10.0,0.0,0.0,0.0,0.0
